crop,period_start,period_end,label,AWC_mm,spei_1m,spei_3m,spei_6m,spei_12m,P_acum_mm,Storage_mm,WRSI_1m,deficit_1m,future_deficit_1m,future_deficit_1m_mm,future_deficit_3m,future_deficit_3m_mm,future_deficit_6m,future_deficit_6m_mm,past_deficit_3m,past_deficit_6m,suggestion
cacao_ccn51,2019-11-01,2019-11-15,2019-11_Q1,134.03,0.434,-0.449,-0.319,-1.594,324.71,134.03,1.0,0.0,0.0,0.0,6.6354,25.68,8.2911,64.17,0.0,0.0,LOW
cacao_ccn51,2019-11-16,2019-11-30,2019-11_Q2,134.03,0.195,0.264,-0.439,-1.582,323.45,134.03,1.0,0.0,0.0,0.0,16.2132,64.17,8.2894,64.17,0.0,0.0,MEDIUM
cacao_ccn51,2019-12-01,2019-12-15,2019-12_Q1,134.03,0.444,0.544,-0.266,-1.411,189.69,121.36,1.0,0.0,0.0,0.0,16.0485,64.17,8.402,64.17,0.0,0.0,MEDIUM
cacao_ccn51,2019-12-16,2019-12-31,2019-12_Q2,134.03,0.672,0.301,-0.151,-1.027,171.0,134.03,1.0,0.0,0.0,0.0,15.8882,64.17,8.5171,64.17,0.0,0.0,MEDIUM
cacao_ccn51,2020-01-01,2020-01-15,2020-01_Q1,134.03,-0.207,0.058,-0.333,-1.344,137.49,87.09,1.0,0.0,19.3433,25.68,16.0529,64.17,8.6647,64.17,0.0,0.0,MEDIUM
cacao_ccn51,2020-01-16,2020-01-31,2020-01_Q2,134.03,-0.645,-0.245,-0.463,-1.35,38.97,41.17,1.0,0.0,47.9735,64.17,16.2252,64.17,8.8166,64.17,0.0,0.0,HIGH
cacao_ccn51,2020-02-01,2020-02-15,2020-02_Q1,134.03,-0.766,-0.995,-0.744,-1.18,20.01,0.0,0.8066,19.34,28.274,38.48,9.9476,38.48,5.3508,38.48,0.0,0.0,MEDIUM
cacao_ccn51,2020-02-16,2020-02-29,2020-02_Q2,134.03,-1.263,-0.928,-0.438,-1.276,28.42,0.0,0.5203,47.97,0.0,0.0,0.0,0.0,0.0,0.0,6.6354,3.2897,LOW
cacao_ccn51,2020-03-01,2020-03-15,2020-03_Q1,134.03,0.161,-0.574,-0.056,-0.715,168.66,71.03,0.7173,28.27,0.0,0.0,0.0,0.0,0.0,0.0,16.2132,8.1556,LOW
cacao_ccn51,2020-03-16,2020-03-31,2020-03_Q2,134.03,-1.352,-1.49,-0.833,-0.902,140.24,1.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0485,8.1883,LOW
cacao_ccn51,2020-04-01,2020-04-15,2020-04_Q1,134.03,-1.165,-1.411,-0.871,-1.093,214.99,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8882,8.2188,LOW
cacao_ccn51,2020-04-16,2020-04-30,2020-04_Q2,134.03,-1.302,-1.6,-1.215,-1.403,316.36,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0529,8.2561,LOW
cacao_ccn51,2020-05-01,2020-05-15,2020-05_Q1,134.03,-1.384,-1.533,-1.358,-1.408,405.83,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2252,8.2918,LOW
cacao_ccn51,2020-05-16,2020-05-31,2020-05_Q2,134.03,0.261,-1.69,-1.443,-1.439,570.66,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9476,8.2911,LOW
cacao_ccn51,2020-06-01,2020-06-15,2020-06_Q1,134.03,0.259,-1.227,-1.285,-1.43,515.45,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2894,LOW
cacao_ccn51,2020-06-16,2020-06-30,2020-06_Q2,134.03,0.449,-0.214,-1.309,-1.448,476.01,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.402,LOW
cacao_ccn51,2020-07-01,2020-07-15,2020-07_Q1,134.03,0.52,-0.096,-1.3,-1.365,405.83,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5171,LOW
cacao_ccn51,2020-07-16,2020-07-31,2020-07_Q2,134.03,-0.013,0.516,-1.33,-1.324,341.17,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6647,LOW
cacao_ccn51,2020-08-01,2020-08-15,2020-08_Q1,134.03,-1.666,-0.015,-1.308,-1.268,234.76,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8166,LOW
cacao_ccn51,2020-08-16,2020-08-31,2020-08_Q2,134.03,-0.335,-0.005,-0.76,-1.021,280.25,134.03,1.0,0.0,0.0,0.0,0.0,0.0,1.3425,9.95,0.0,5.3508,LOW
cacao_ccn51,2020-09-01,2020-09-15,2020-09_Q1,134.03,0.461,-0.215,-0.821,-0.865,316.38,134.03,1.0,0.0,0.0,0.0,0.0,0.0,1.3413,9.95,0.0,0.0,LOW
cacao_ccn51,2020-09-16,2020-09-30,2020-09_Q2,134.03,0.438,-0.184,-0.182,-0.772,278.1,134.03,1.0,0.0,0.0,0.0,0.0,0.0,1.34,9.95,0.0,0.0,LOW
