et_mm,fuente,label,lat,lon,periodo_fin,periodo_inicio
24.1,GF,2019-07_Q1,-19.689669877950884,147.22717515914223,2019-07-16,2019-07-01
20.700000000000003,GF,2019-07_Q2,-19.689669877950884,147.22717515914223,2019-08-01,2019-07-16
18.700000000000003,GF,2019-08_Q1,-19.689669877950884,147.22717515914223,2019-08-16,2019-08-01
13.2,GF,2019-08_Q2,-19.689669877950884,147.22717515914223,2019-09-01,2019-08-16
13.5,GF,2019-09_Q1,-19.689669877950884,147.22717515914223,2019-09-16,2019-09-01
13.8,GF,2019-09_Q2,-19.689669877950884,147.22717515914223,2019-10-01,2019-09-16
6.7,GF,2019-10_Q1,-19.689669877950884,147.22717515914223,2019-10-16,2019-10-01
16.9,GF,2019-10_Q2,-19.689669877950884,147.22717515914223,2019-11-01,2019-10-16
18.9,GF,2019-11_Q1,-19.689669877950884,147.22717515914223,2019-11-16,2019-11-01
18.200000000000003,GF,2019-11_Q2,-19.689669877950884,147.22717515914223,2019-12-01,2019-11-16
26.400000000000002,GF,2019-12_Q1,-19.689669877950884,147.22717515914223,2019-12-16,2019-12-01
25.400000000000002,GF,2019-12_Q2,-19.689669877950884,147.22717515914223,2020-01-01,2019-12-16
39.0,GF,2020-01_Q1,-19.689669877950884,147.22717515914223,2020-01-16,2020-01-01
44.7,GF,2020-01_Q2,-19.689669877950884,147.22717515914223,2020-02-01,2020-01-16
53.3,GF,2020-02_Q1,-19.689669877950884,147.22717515914223,2020-02-16,2020-02-01
52.60000000000001,GF,2020-02_Q2,-19.689669877950884,147.22717515914223,2020-03-01,2020-02-16
57.400000000000006,GF,2020-03_Q1,-19.689669877950884,147.22717515914223,2020-03-16,2020-03-01
48.900000000000006,GF,2020-03_Q2,-19.689669877950884,147.22717515914223,2020-04-01,2020-03-16
40.3,GF,2020-04_Q1,-19.689669877950884,147.22717515914223,2020-04-16,2020-04-01
32.0,GF,2020-04_Q2,-19.689669877950884,147.22717515914223,2020-05-01,2020-04-16
12.3,GF,2020-05_Q1,-19.689669877950884,147.22717515914223,2020-05-16,2020-05-01
25.200000000000003,GF,2020-05_Q2,-19.689669877950884,147.22717515914223,2020-06-01,2020-05-16
27.1,GF,2020-06_Q1,-19.689669877950884,147.22717515914223,2020-06-16,2020-06-01
23.6,GF,2020-06_Q2,-19.689669877950884,147.22717515914223,2020-07-01,2020-06-16
21.400000000000002,GF,2020-07_Q1,-19.689669877950884,147.22717515914223,2020-07-16,2020-07-01
21.9,GF,2020-07_Q2,-19.689669877950884,147.22717515914223,2020-08-01,2020-07-16
21.0,GF,2020-08_Q1,-19.689669877950884,147.22717515914223,2020-08-16,2020-08-01
21.9,GF,2020-08_Q2,-19.689669877950884,147.22717515914223,2020-09-01,2020-08-16
24.400000000000002,GF,2020-09_Q1,-19.689669877950884,147.22717515914223,2020-09-16,2020-09-01
21.9,GF,2020-09_Q2,-19.689669877950884,147.22717515914223,2020-10-01,2020-09-16
